id,frame,text
0,0,
1,1,
2,2,
3,3,
4,4,
5,5,
6,6,
7,7,
8,8,
9,9,
10,10,
11,11,
12,12,
13,13,
14,14,
15,15,
16,16,
17,17,
18,18,
19,19,
20,20,
21,21,
22,22,
23,23,
24,24,
25,25,
26,26,
27,27,
28,28,
29,29,
30,30,
31,31,
32,32,
33,33,
34,34,
35,35,
36,36,
37,37,
38,38,
39,39,
40,40,
41,41,
42,42,
43,43,
44,44,
45,45,
46,46,
47,47,
48,48,
49,49,
50,50,
51,51,
52,52,
53,53,
54,54,
55,55,
56,56,
57,57,
58,58,
59,59,
60,60,
61,61,
62,62,
63,63,
64,64,
65,65,
66,66,
67,67,
68,68,
69,69,
70,70,
71,71,
72,72,
73,73,
74,74,
75,75,
76,76,
77,77,
78,78,
79,79,
80,80,
81,81,
82,82,
83,83,
84,84,
85,85,
86,86,
87,87,
88,88,
89,89,
90,90,
91,91,
92,92,
93,93,
94,94,
95,95,w
96,96,w
97,97,w
98,98,w
99,99,w
100,100,w
101,101,wo
102,102,wo
103,103,wo
104,104,wo
105,105,wo
106,106,wo
107,107,wo
108,108,wor
109,109,wor
110,110,wor
111,111,wor
112,112,wor
113,113,wor
114,114,wor
115,115,wor
116,116,wor
117,117,wor
118,118,wor
119,119,wor
120,120,wor
121,121,wor
122,122,wor
123,123,wor
124,124,wor
125,125,wor
126,126,wor
127,127,work
128,128,work
129,129,work
130,130,work
131,131,work
132,132,work
133,133,work
134,134,work
135,135,work
136,136,work
137,137,work
138,138,work
139,139,work
140,140,work
141,141,work
142,142,work
143,143,works
144,144,works
145,145,works
146,146,works
147,147,works
148,148,works
149,149,works
150,150,works
151,151,works
152,152,works
153,153,works
154,154,works
155,155,works
156,156,works
157,157,works
158,158,works
159,159,works
160,160,works
161,161,works
162,162,works
163,163,works
164,164,works
165,165,works
166,166,works
167,167,works
168,168,works
169,169,works
170,170,works
171,171,works
172,172,works
173,173,works
174,174,works
175,175,works
176,176,works
177,177,works
178,178,works
179,179,works
180,180,works
181,181,works
182,182,works
183,183,works
184,184,works
185,185,works
186,186,works
187,187,works
188,188,works
189,189,works
190,190,works
191,191,works
192,192,works
193,193,works
194,194,works
195,195,works
196,196,works
197,197,works
198,198,works
199,199,works
200,200,works
201,201,works
202,202,works
203,203,works a
204,204,works a
205,205,works a
206,206,works a
207,207,works a
208,208,works a
209,209,works a
210,210,works a
211,211,works a
212,212,works ar
213,213,works ar
214,214,works ar
215,215,works ar
216,216,works ar
217,217,works ar
218,218,works ar
219,219,works ar
220,220,works ar
221,221,works ar
222,222,works ar
223,223,works ar
224,224,works ar
225,225,works ar
226,226,works ar
227,227,works ar
228,228,works ar
229,229,works ar
230,230,works ar
231,231,works ar
232,232,works are
233,233,works are
234,234,works are
235,235,works are
236,236,works are
237,237,works are
238,238,works are
239,239,works are
240,240,works are
241,241,works are
242,242,works are
243,243,works are
244,244,works are
245,245,works are
246,246,works are
247,247,works are
248,248,works are
249,249,works are
250,250,works are
251,251,works are
252,252,works are
253,253,works are
254,254,works are
255,255,works are
256,256,works are
257,257,works are
258,258,works are
259,259,works are
260,260,works are
261,261,works are
262,262,works are
263,263,works are
264,264,works are
265,265,works are
266,266,works are
267,267,works are
268,268,works are
269,269,works are
270,270,works are
271,271,works are
272,272,works are
273,273,works are
274,274,works are
275,275,works are
276,276,works are
277,277,works are
278,278,works are
279,279,works are
280,280,works are
281,281,works are
282,282,works are
283,283,works are
284,284,works are
285,285,works are
286,286,works are
287,287,works are
288,288,works are
289,289,works are
290,290,works are
291,291,works are
292,292,works are
293,293,works are
294,294,works are
295,295,works are
296,296,works are
297,297,works are
298,298,works are
299,299,works are
300,300,works are
301,301,works are
302,302,works are
303,303,works are
304,304,works are
305,305,works are
306,306,works are
307,307,works are
308,308,works are
309,309,works are
310,310,works are
311,311,works are
312,312,works are
313,313,works are
314,314,works are
315,315,works are
316,316,works are h
317,317,works are h
318,318,works are h
319,319,works are h
320,320,works are h
321,321,works are he
322,322,works are he
323,323,works are he
324,324,works are he
325,325,works are her
326,326,works are her
327,327,works are her
328,328,works are her
329,329,works are her
330,330,works are here
331,331,works are here
332,332,works are here
333,333,works are here
334,334,works are here
335,335,works are here
336,336,works are here
337,337,works are here
338,338,works are here
339,339,works are here
340,340,works are here
341,341,works are here
342,342,works are here
343,343,works are here
344,344,works are here
345,345,works are here
346,346,works are here
347,347,works are here
348,348,works are here
349,349,works are here
350,350,works are here
351,351,works are here
352,352,works are here
353,353,works are here
354,354,works are here
355,355,works are here
356,356,works are here
357,357,works are here
358,358,works are here
359,359,works are here
360,360,works are here
361,361,works are here
362,362,works are here
363,363,works are here
364,364,works are here
365,365,works are here
366,366,works are here
367,367,works are here
368,368,works are here
369,369,works are here
370,370,works are here
371,371,works are here
372,372,works are here
373,373,works are here
374,374,works are here
375,375,works are here
376,376,works are here
377,377,works are here
378,378,works are here
379,379,works are here
380,380,works are here
381,381,works are here
382,382,works are here
383,383,works are here
384,384,works are here
385,385,works are here
386,386,works are here
387,387,works are here
388,388,works are here
389,389,works are here
390,390,works are here
391,391,works are here
392,392,works are here !
393,393,works are here !
394,394,works are here !
395,395,works are here !
396,396,works are here !
397,397,works are here !
398,398,works are here !
399,399,works are here !
400,400,works are here !
401,401,works are here !
402,402,works are here !
403,403,works are here !
404,404,works are here !
405,405,works are here !
406,406,works are here !
407,407,works are here !
408,408,works are here !
409,409,works are here !
410,410,works are here !
411,411,works are here !
412,412,works are here !
413,413,works are here !
414,414,works are here !
415,415,works are here !
416,416,works are here !
417,417,works are here !
418,418,works are here !
419,419,works are here !
420,420,works are here !
421,421,works are here !
422,422,works are here !
423,423,works are here !
424,424,works are here !
425,425,works are here !
426,426,works are here !
427,427,works are here !
428,428,works are here !
429,429,works are here !
430,430,works are here !
431,431,works are here !
432,432,works are here !
433,433,works are here !
434,434,works are here !
435,435,works are here !
436,436,works are here !
437,437,works are here !
438,438,works are here !
439,439,works are here !
440,440,works are here !
441,441,works are here !
442,442,works are here !
443,443,works are here !
444,444,works are here !
445,445,works are here !
446,446,works are here !
447,447,works are here !
448,448,works are here !
449,449,works are here !
450,450,works are here !
451,451,works are here !
452,452,works are here !
453,453,works are here !
454,454,works are here !
455,455,works are here !
456,456,works are here !
457,457,works are here !
458,458,works are here !
459,459,works are here !
460,460,works are here !
461,461,works are here !
462,462,works are here !
463,463,works are here !
464,464,works are here !
465,465,works are here !
466,466,works are here !
467,467,works are here !
468,468,works are here !
469,469,works are here !
470,470,works are here !
471,471,works are here !!
472,472,works are here !!
473,473,works are here !!
474,474,works are here !!
475,475,works are here !!
476,476,works are here !!
477,477,works are here !!
478,478,works are here !!
479,479,works are here !!
480,480,works are here !!
481,481,works are here !!
482,482,works are here !!
483,483,works are here !!
484,484,works are here !!
485,485,works are here !!
486,486,works are here !!
487,487,works are here !!
488,488,works are here !!
489,489,works are here !!
490,490,works are here !!
491,491,works are here !!
492,492,works are here !!
493,493,works are here !!
494,494,works are here !!
495,495,works are here !!
496,496,works are here !!
497,497,works are here !!
498,498,works are here !!
499,499,works are here !!
500,500,works are here !!
501,501,works are here !!
502,502,works are here !!
503,503,works are here !!
504,504,works are here !!
505,505,works are here !!
506,506,works are here !!
507,507,works are here !!
508,508,works are here !!
509,509,works are here !!
510,510,works are here !!
511,511,works are here !!
512,512,works are here !!
513,513,works are here !!
514,514,works are here !!
515,515,works are here !!
516,516,works are here !!
517,517,works are here !!
518,518,works are here !!
519,519,works are here !!
520,520,works are here !!
521,521,works are here !!
522,522,works are here !!
523,523,works are here !!
524,524,works are here !!
525,525,works are here !!
526,526,works are here !!
527,527,works are here !!
528,528,works are here !!
529,529,works are here !!
530,530,works are here !!
531,531,works are here !!
532,532,works are here !!
533,533,works are here !!
534,534,works are here !!
535,535,works are here !!
536,536,works are here !!
537,537,works are here !!
538,538,works are here !!
539,539,works are here !!
540,540,works are here !!
541,541,works are here !!
542,542,works are here !!
543,543,works are here !!
544,544,works are here !!
545,545,works are here !!
546,546,works are here !!
547,547,works are here !!
548,548,works are here !!
549,549,works are here !!
550,550,works are here !!
551,551,works are here !!
552,552,works are here !!
553,553,works are here !!!
554,554,works are here !!!
555,555,works are here !!!
556,556,works are here !!!
557,557,works are here !!!
558,558,works are here !!!
559,559,works are here !!!
560,560,works are here !!!
561,561,works are here !!!
562,562,works are here !!!
563,563,works are here !!!
564,564,works are here !!!
565,565,works are here !!!
566,566,works are here !!!
567,567,works are here !!!
568,568,works are here !!!
569,569,works are here !!!
570,570,works are here !!!
